part,rank_correlation_with_final_margin,evidence_fifth,n_rows,n_originals,mean_evidence_within_pair,controlled_event_rate,median_margin_within_pair
beak,-0.06167991596049921,1,200,119,-0.2536710339265191,0.15,0.48178826859527923
beak,-0.06167991596049921,2,200,120,-0.05858014751957057,0.155,0.21842266401419286
beak,-0.06167991596049921,3,200,120,0.005757908858478502,0.21,-0.1486320297305399
beak,-0.06167991596049921,4,200,120,0.06554912614602981,0.26,-0.032734677568078074
beak,-0.06167991596049921,5,200,108,0.24094414644158135,0.225,0.18496383443856845
eye,-0.0962901373788296,1,200,110,-0.11762254388051271,0.045,0.5244110370865993
eye,-0.0962901373788296,2,200,133,-0.016867381164002535,0.1,0.4908976804087968
eye,-0.0962901373788296,3,200,118,0.008315971946656009,0.055,0.8599375344091844
eye,-0.0962901373788296,4,200,124,0.02965157937249174,0.105,-0.40379059961996977
eye,-0.0962901373788296,5,200,117,0.0965223737253675,0.14,0.058204457815736355
foot,-0.07701944782869355,1,200,125,-0.15327574593354718,0.02,0.6578234631568192
foot,-0.07701944782869355,2,200,131,-0.04198268457910224,0.035,-0.008074965335504114
foot,-0.07701944782869355,3,200,137,0.00992968418236524,0.025,0.1625803796160552
foot,-0.07701944782869355,4,200,127,0.05327134920981493,0.03,0.22094266904812088
foot,-0.07701944782869355,5,200,119,0.13205739712046927,0.05,-0.002313477393578234
tail,-0.1797659839133514,1,200,121,-0.5429040731598299,0.375,1.3250116926928361
tail,-0.1797659839133514,2,200,133,-0.19730245745494393,0.525,0.5567479476332666
tail,-0.1797659839133514,3,200,130,0.0016558931567460116,0.53,0.7059020097057025
tail,-0.1797659839133514,4,200,134,0.18880586732661545,0.565,-0.8422957705333829
tail,-0.1797659839133514,5,200,102,0.5497447701314124,0.515,-0.5977615979313851
wing,-0.07664993833041864,1,200,122,-0.3417345482478259,0.015,0.14750874344404696
wing,-0.07664993833041864,2,200,134,-0.09564758025655802,0.005,0.057840092693056455
wing,-0.07664993833041864,3,200,129,0.003656353285570646,0.02,-0.05598515651442826
wing,-0.07664993833041864,4,200,133,0.10503552665530848,0.025,-0.42874720173351744
wing,-0.07664993833041864,5,200,128,0.32869024856350476,0.03,-0.23596827067209025
