concept_index,concept,part,value,positive_images,hidden_positive_images,conflict_rate,species_support,mean_donor_gain,mean_visible_pixels,donor_rows,mean_source_decrease,source_rows
0,beak_0,beak,0,15819,210,0.013275175421960933,21,5.529778654419857,99.54492753623188,345,5.478490701857685,345
1,beak_1,beak,1,7476,49,0.006554307116104869,10,6.757287553500156,316.130612244898,245,7.2480595095729345,245
2,beak_2,beak,2,4555,83,0.018221734357848518,6,5.279078659415245,22.05263157894737,190,5.223463971834434,190
3,beak_3,beak,3,9767,25,0.0025596396027439336,13,5.799791531535712,207.37727272727273,220,5.808229990235784,220
4,eye_0,eye,0,11384,67,0.005885453267744202,15,5.861636052007476,67.20666666666666,300,6.471180705229441,300
5,eye_1,eye,1,11994,97,0.008087377021844255,16,6.218899964832741,79.2927536231884,345,5.425668249398038,345
6,eye_2,eye,2,14348,104,0.007248396989127405,19,5.552044767624055,70.26197183098591,355,5.805904844948944,355
7,foot_0,foot,0,9829,2,0.00020347949944043138,13,7.133803173899651,192.73636363636365,220,7.499435779994184,220
8,foot_1,foot,1,7584,21,0.002768987341772152,10,6.729368708562106,97.80416666666666,240,7.019846186538538,240
9,foot_2,foot,2,10552,14,0.001326762699014405,14,7.03520191044643,169.1551724137931,290,6.791584492089419,290
10,foot_3,foot,3,9758,11,0.0011272801803648288,13,6.317985775738954,174.544,250,6.891905143141747,250
11,tail_0,tail,0,3033,658,0.21694691724365314,4,4.373420602083206,183.68,75,4.275984972318014,75
12,tail_1,tail,1,3745,1320,0.35246995994659547,5,4.45791324045923,115.23333333333333,90,5.379424374964502,90
13,tail_2,tail,2,5224,617,0.11810872894333843,7,4.8566467393189665,83.225,120,4.593267836607993,120
14,tail_3,tail,3,5285,1012,0.1914853358561968,7,4.571813853491436,156.85454545454544,110,4.660848816619678,110
15,tail_4,tail,4,3043,1190,0.39106145251396646,4,3.3887311961163173,99.76363636363637,110,3.644031930240718,110
16,tail_5,tail,5,6030,675,0.11194029850746269,8,5.232757904132208,69.17333333333333,150,5.1008214513460794,150
17,tail_6,tail,6,3752,722,0.19243070362473347,5,4.462633691957364,152.84615384615384,130,6.7392054511950565,130
18,tail_7,tail,7,1536,599,0.3899739583333333,2,3.39619134919984,106.6,35,3.0609111300536562,35
19,tail_8,tail,8,6059,696,0.1148704406667767,8,5.153493261171712,76.76666666666667,180,6.573517461948924,180
20,wing_0,wing,0,3774,1,0.00026497085320614734,5,9.187147982877034,388.9,130,9.788253234899962,130
21,wing_1,wing,1,6815,2,0.000293470286133529,9,7.691366684536139,357.46666666666664,150,8.494413970311482,150
22,wing_2,wing,2,8190,3,0.0003663003663003663,11,8.025046161359006,483.91818181818184,220,7.959393291175365,220
23,wing_3,wing,3,3794,0,0.0,5,8.19161981732949,363.8,115,8.338117597414099,115
24,wing_4,wing,4,7611,1,0.00013138877939823938,10,7.159256113767624,403.33714285714285,175,7.837523263948304,175
25,wing_5,wing,5,7504,5,0.0006663113006396588,10,8.191777686703773,354.12857142857143,210,8.25136973034768,210
