part,image_index,species,variant,concept_index,concept,mechanically_valid,eligible,exclusion_reason,target_pixels_native_11,target_pixels_native_01,target_pixels_native_10,target_pixels_native_00,scientific_target_pixels_identical,changed_pixels_11_01,changed_pixels_10_00,changed_pixels_01_00_other_named_parts,composite_11_vs_native_11_changed_pixels,composite_10_vs_native_10_changed_pixels,composite_11_vs_native_11_rgb_mae,composite_10_vs_native_10_rgb_mae,native_z11,native_z10,composite_minus_native_z11,composite_minus_native_z10,annotation_sha256,z11,render_sha256_11,z01,render_sha256_01,z10,render_sha256_10,z00,render_sha256_00,part_response_with_context,part_response_without_context,context_evidence_with_part,context_evidence_without_part,interaction
tail,70,7,0,11,tail_0,False,False,target_not_visible_in_native_11;11_to_01_did_not_change_rgb;10_to_00_did_not_change_rgb,0,0,3,0,True,0,0,1995,0,13,3.0517578125e-05,0.0058949789963662624,0.051333844661712646,-0.6868410110473633,-0.00022608041763305664,-5.291975021362305,bba7536e102e9c74,0.05110776424407959,fe0b4b3baa8e1621acc03f4ed16bcbbed9dc6f06d7c5bc791e95b08a9e1720b9,0.05110776424407959,fe0b4b3baa8e1621acc03f4ed16bcbbed9dc6f06d7c5bc791e95b08a9e1720b9,-5.978816032409668,e0757146080d4fd5e4a71eb7795865e9862559ecb19e1e6ebe37e5ca8443743a,-5.978816032409668,e0757146080d4fd5e4a71eb7795865e9862559ecb19e1e6ebe37e5ca8443743a,0.0,0.0,6.029923796653748,6.029923796653748,0.0
tail,40,4,1,12,tail_1,True,True,,127,0,135,0,True,127,127,3965,53,78,0.02117919921875,0.0465189628303051,6.729129314422607,3.6948773860931396,-0.05909252166748047,-0.11414599418640137,6a6af1c15fc72375,6.670036792755127,7fdaabc98c121e0ff305307b97737402453bb4e70bd4e7f8d462184f2d5e476e,0.44270840287208557,c13d7c9ea1d16f497f183ccaa72d716772eeea568d1a1c63caf3a3646fd65f5e,3.5807313919067383,b677552c6d5530aa90a3ccc73097caf91965e58e25de98036e2439a75ce281bc,-4.841383457183838,cc453f5dd06127f5223b07db1d8ca5e8383caad53db8aee184dcac3f2af0d609,6.227328389883041,8.422114849090576,3.0893054008483887,5.2840918600559235,-2.194786459207535
tail,170,17,2,13,tail_2,True,True,,21,0,21,0,True,21,21,1154,21,21,0.0057118735276162624,0.0057118735276162624,4.383732795715332,5.590899467468262,-0.10030698776245117,-0.07025527954101562,3a6784850eab241d,4.283425807952881,1ec63123b14e9ab021782e2bb8f2de1c19847cca56fb74409eebb23ccaaca532,1.0839343070983887,5bde8f67bc7fb1f7ba7630420dc8f8e181a0c79fe30c9d46f4661c367de0fa77,5.520644187927246,c36fcf0c4e42fa39b59b14a5912cba4e8448852c58caf5ff5d7ccd64c9e2f963,-4.309805393218994,b6a52572dcc950f67ec2f784ae7cefa702663691b28bd5cfa362306c40f5097f,3.199491500854492,9.83044958114624,-1.2372183799743652,5.393739700317383,-6.630958080291748
tail,100,10,3,14,tail_3,True,True,,510,0,510,0,True,510,510,2044,132,132,0.0521443672478199,0.0521443672478199,6.146963119506836,4.670217037200928,-0.04296445846557617,-0.12712526321411133,15caf7a0fa63dc64,6.10399866104126,497ce81af48910c2839e80482d73667b62b977de1666df2f2d9d43d174165664,-0.7444993257522583,7088126d6ad3b0854e8027209080cdbcdb78539b32afb344031829291e95ccea,4.543091773986816,98f273c44a2319366e71cf837839c1265b0b9850aa24354a7b106b04b5c81349,-5.435050010681152,bb9272a802fcba022062bae41baa7421fcf45a5cb017a71963e6590f4f0a9912,6.848497986793518,9.978141784667969,1.5609068870544434,4.690550684928894,-3.1296437978744507
tail,0,0,4,15,tail_4,True,True,,49,0,49,0,True,49,49,1844,36,37,0.013219197280704975,0.013402302749454975,2.2418582439422607,5.20573091506958,0.09043455123901367,-1.5788683891296387,24071a76e3a8dd8f,2.3322927951812744,cd8ccdb5c4c3fa7be451a5eb39ac9cdede171e2e8ce83935ca058ad1629e62ab,-3.5521366596221924,85fb7054dd8103b8e61e463a3f3c1a08320c8d2e90a75a9d669d614b4b10504d,3.6268625259399414,25ec0af0ef3841f112fd15aef9a3a17c1c24bfed6f0c61a80623e125391c843f,-5.6992106437683105,f0a5348defd6f85696af6454b13ae70dcc8f7b32478cf89f2ce45e5de8a3cdac,5.884429454803467,9.326073169708252,-1.294569730758667,2.147073984146118,-3.441643714904785
tail,50,5,5,16,tail_5,True,True,,47,0,47,0,True,47,47,2651,35,35,0.010808308608829975,0.010808308608829975,4.182280540466309,4.60491943359375,-0.058825016021728516,-0.04949808120727539,de3c42403b42cf4a,4.12345552444458,9ad3a1e846600df04353687e287f38fcb79afba5c092ad0e7b0ea33d615874db,-0.9524532556533813,038a28585c9f2f12614c868ef1605a0c90045836f7ec1617eef1516a665c4fc2,4.555421352386475,0804ec40f0786b540c61aa9656f52b8a26bfd234f69863606b75987b06e748a5,-5.027688026428223,facb8a3b9f5fc1209a37604fd0f5af939d541701e2b8bcbe9e00f94e6df92c47,5.075908780097961,9.583109378814697,-0.43196582794189453,4.075234770774841,-4.507200598716736
tail,140,14,6,17,tail_6,False,False,target_not_visible_in_native_11;11_to_01_did_not_change_rgb;10_to_00_did_not_change_rgb,0,0,0,0,True,0,0,2544,0,0,0.0,0.0,1.1800591945648193,-5.402104377746582,0.0,0.0,d4aede8b726b15ed,1.1800591945648193,d96d0bb7f24fe2e957ba9d73d9be53d1d1cff7fc49966033b66499a631af98d7,1.1800591945648193,d96d0bb7f24fe2e957ba9d73d9be53d1d1cff7fc49966033b66499a631af98d7,-5.402104377746582,02f33d6561d451c6407aaa30be8eb7c1b416fd5af7ef8bd2194891f46f31d614,-5.402104377746582,02f33d6561d451c6407aaa30be8eb7c1b416fd5af7ef8bd2194891f46f31d614,0.0,0.0,6.582163572311401,6.582163572311401,0.0
tail,10,1,7,18,tail_7,True,True,,102,0,103,0,True,102,102,1020,41,49,0.012858073227107525,0.01677958108484745,5.930009365081787,6.770437240600586,0.11396503448486328,-1.9663333892822266,ee81c82fbf83735e,6.04397439956665,8b94559f59139b8eea7028aa309afd86c3ee67ee80aa4e14b8efa0ad7e0d045f,2.2341551780700684,84551bde9f6b8f7139c5aec047b29c15649f99e375b3794ccb80fcd2e830771f,4.804103851318359,c99dcf68384759656e7e3301ff402e7794ed2243fbf684552e9f0fa12afcf85b,-6.700023651123047,106a4bbd2764afae0329deb362d27f0070cfad5d75a5290e1e7b78d50b2dd701,3.809819221496582,11.504127502441406,1.239870548248291,8.934178829193115,-7.694308280944824
tail,30,3,8,19,tail_8,True,True,,24,0,24,0,True,24,24,3325,25,25,0.005584716796875,0.005584716796875,5.8579912185668945,5.485810279846191,-0.06614065170288086,-0.08420991897583008,a91e13fbcee57400,5.791850566864014,b53da27c95352cb1f6900e9f43749ff0e47915cb897b682268c5bfca2d13117f,-1.9579159021377563,054167750537785d523f790a50c4ff39d874013d0bd06b1972f90eadbde8bddf,5.401600360870361,6c7a95c92776780c7634581bbd2d4db43a86aec6b178fe96a672ae0dc7da6fef,-3.925663948059082,8cadaaeb4956533cca5cfab44fb5bc44ea5122f244f3a8852a5bfa3e6a38bccf,7.74976646900177,9.327264308929443,0.39025020599365234,1.9677480459213257,-1.5774978399276733
tail,71,7,0,11,tail_0,True,True,,9,0,9,0,True,9,9,1591,13,13,0.0046488442458212376,0.0046488442458212376,5.152976989746094,1.139969825744629,0.056435585021972656,-0.5373648405075073,7974492bf2eb4ef2,5.209412574768066,160dfc68bb823334dec2f9dfa098929d11414196570e9f31ba0eddf3ad2db7e9,2.931687593460083,342d54207a84684f5d69d6a7b4213e132000028fd83c700d26bdfa25054d78ea,0.6026049852371216,13fb44e6a5ac82b1ace4b0d1a4f0c279f81b728a04d9a87828affc73bdcea753,-4.624948501586914,890188938bf79e5d5c87b09c953c88ab52e9f77ba57bb4a3686b1ebe0cc59d7f,2.2777249813079834,5.227553486824036,4.606807589530945,7.556636095046997,-2.9498285055160522
