species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
0,funnybird_00,10,0,5,10,0.0,0,,0.0,,,,,100,tail_5,baseline
37,funnybird_37,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
27,funnybird_27,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
28,funnybird_28,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,baseline
29,funnybird_29,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
30,funnybird_30,10,0,3,10,0.0,0,,0.0,,,,,100,tail_5,baseline
31,funnybird_31,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,baseline
32,funnybird_32,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
33,funnybird_33,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
34,funnybird_34,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
35,funnybird_35,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
36,funnybird_36,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
38,funnybird_38,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
1,funnybird_01,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,baseline
39,funnybird_39,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
40,funnybird_40,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
41,funnybird_41,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
42,funnybird_42,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
43,funnybird_43,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
44,funnybird_44,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
45,funnybird_45,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,baseline
46,funnybird_46,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,baseline
47,funnybird_47,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,baseline
48,funnybird_48,10,10,8,0,1.0,8,0.8,1.0,0.8090000000000002,0.6,1.0,0.4,100,tail_5,baseline
26,funnybird_26,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
25,funnybird_25,10,0,3,10,0.0,0,,0.0,,,,,100,tail_5,baseline
24,funnybird_24,10,0,4,10,0.0,0,,0.0,,,,,100,tail_5,baseline
23,funnybird_23,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
2,funnybird_02,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
3,funnybird_03,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
4,funnybird_04,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,baseline
5,funnybird_05,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
6,funnybird_06,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
7,funnybird_07,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
8,funnybird_08,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
9,funnybird_09,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
10,funnybird_10,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
11,funnybird_11,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,baseline
12,funnybird_12,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
13,funnybird_13,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
14,funnybird_14,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
15,funnybird_15,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
16,funnybird_16,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
17,funnybird_17,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
18,funnybird_18,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
19,funnybird_19,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
20,funnybird_20,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
21,funnybird_21,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
22,funnybird_22,10,0,0,10,0.0,0,,,,,,,100,tail_5,baseline
49,funnybird_49,10,0,4,10,0.0,0,,0.0,,,,,100,tail_5,baseline
0,funnybird_00,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
37,funnybird_37,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
27,funnybird_27,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
28,funnybird_28,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
29,funnybird_29,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_1,baseline
30,funnybird_30,10,0,6,10,0.0,0,,0.0,,,,,100,tail_1,baseline
31,funnybird_31,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
32,funnybird_32,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
33,funnybird_33,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
34,funnybird_34,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
35,funnybird_35,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
36,funnybird_36,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,baseline
38,funnybird_38,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,baseline
1,funnybird_01,10,0,3,10,0.0,0,,0.0,,,,,100,tail_1,baseline
39,funnybird_39,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
40,funnybird_40,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
41,funnybird_41,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,baseline
42,funnybird_42,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
43,funnybird_43,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
44,funnybird_44,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,baseline
45,funnybird_45,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
46,funnybird_46,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_1,baseline
47,funnybird_47,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
48,funnybird_48,10,0,3,10,0.0,0,,0.0,,,,,100,tail_1,baseline
26,funnybird_26,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
25,funnybird_25,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
24,funnybird_24,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
23,funnybird_23,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
2,funnybird_02,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
3,funnybird_03,10,0,2,10,0.0,0,,0.0,,,,,100,tail_1,baseline
4,funnybird_04,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_1,baseline
5,funnybird_05,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
6,funnybird_06,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
7,funnybird_07,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
8,funnybird_08,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
9,funnybird_09,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
10,funnybird_10,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
11,funnybird_11,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
12,funnybird_12,10,0,1,10,0.0,0,,0.0,,,,,100,tail_1,baseline
13,funnybird_13,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
14,funnybird_14,10,0,0,10,0.0,0,,,,,,,100,tail_1,baseline
