species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
0,funnybird_00,10,0,5,10,0.0,0,,0.0,,,,,100,tail_5,cbm
37,funnybird_37,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,cbm
27,funnybird_27,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
28,funnybird_28,10,0,3,10,0.0,0,,0.0,,,,,100,tail_5,cbm
29,funnybird_29,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
30,funnybird_30,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,cbm
31,funnybird_31,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,cbm
32,funnybird_32,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
33,funnybird_33,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,cbm
34,funnybird_34,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
35,funnybird_35,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
36,funnybird_36,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
38,funnybird_38,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,cbm
1,funnybird_01,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,cbm
39,funnybird_39,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
40,funnybird_40,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,cbm
41,funnybird_41,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
42,funnybird_42,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
43,funnybird_43,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
44,funnybird_44,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
45,funnybird_45,10,0,1,10,0.0,0,,0.0,,,,,100,tail_5,cbm
46,funnybird_46,10,0,0,10,0.0,0,,,,,,,100,tail_5,cbm
47,funnybird_47,10,0,3,10,0.0,0,,0.0,,,,,100,tail_5,cbm
48,funnybird_48,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,cbm
26,funnybird_26,10,10,10,0,1.0,10,1.0,1.0,1.0,1.0,1.0,0.0,100,tail_5,cbm
25,funnybird_25,10,0,2,10,0.0,0,,0.0,,,,,100,tail_5,cbm
24,funnybird_24,10,0,5,10,0.0,0,,0.0,,,,,100,tail_5,cbm
