sid_A,part,drop_A
5,tail,-0.08055925369262695
5,tail,-0.0024644136428833008
5,tail,-0.38152700662612915
5,tail,0.0004936456680297852
5,tail,3.0517578125e-05
18,tail,-0.5434702634811401
18,tail,-0.8744531869888306
18,tail,-0.8451026678085327
18,tail,-0.6624428033828735
18,tail,-0.8955098986625671
1,tail,-0.000779271125793457
1,tail,-0.0005261898040771484
1,tail,-0.0066852569580078125
1,tail,2.9265880584716797e-05
1,tail,-0.5528879761695862
7,tail,-0.004895210266113281
7,tail,-0.12478941679000854
7,tail,-0.007203876972198486
7,tail,-0.031643450260162354
7,tail,0.0008391141891479492
14,tail,-0.0011530518531799316
14,tail,-0.03307825326919556
14,tail,-0.0027360916137695312
14,tail,-0.017419755458831787
14,tail,-0.002937614917755127
48,tail,-0.7702617049217224
48,tail,-0.011599916964769363
48,tail,-0.7746267318725586
48,tail,-0.11501231789588928
48,tail,-0.013072796165943146
12,tail,-0.0010009407997131348
12,tail,-0.006028413772583008
12,tail,-0.01519232988357544
12,tail,-0.0008218884468078613
12,tail,-0.9754058718681335
49,tail,-0.04211074113845825
49,tail,-0.05080080032348633
49,tail,0.001132965087890625
49,tail,0.0117720365524292
49,tail,0.10944479703903198
11,tail,-0.32903772592544556
11,tail,-0.4525371193885803
11,tail,-0.016546249389648438
11,tail,-0.8902616500854492
11,tail,-0.07599598169326782
34,tail,-0.00710827112197876
34,tail,0.00038039684295654297
34,tail,-0.0020081400871276855
34,tail,-0.08063268661499023
34,tail,0.00012987852096557617
6,tail,2.390146255493164e-05
6,tail,-0.011318981647491455
6,tail,-0.00041234493255615234
6,tail,-2.181529998779297e-05
6,tail,-3.2782554626464844e-06
42,tail,-0.0059296488761901855
42,tail,-0.003085792064666748
42,tail,-0.004613041877746582
42,tail,-6.22868537902832e-05
42,tail,-0.01010143756866455
4,tail,-3.927946090698242e-05
4,tail,0.005746126174926758
4,tail,-0.009309947490692139
4,tail,4.4226646423339844e-05
4,tail,-3.510713577270508e-05
40,tail,-0.0018931031227111816
40,tail,-0.023308396339416504
40,tail,-0.00018203258514404297
40,tail,-0.007906496524810791
40,tail,-0.2552263140678406
26,tail,-0.003962457180023193
26,tail,-0.00048065185546875
26,tail,0.00018906593322753906
26,tail,-0.00109785795211792
26,tail,-0.00021731853485107422
22,tail,0.05414390563964844
22,tail,-0.04942634701728821
22,tail,-0.7676264047622681
22,tail,0.0883181095123291
22,tail,-0.3712247610092163
19,tail,-0.00010585784912109375
19,tail,-0.0004805922508239746
19,tail,-7.033348083496094e-06
19,tail,3.3795833587646484e-05
19,tail,2.7418136596679688e-06
21,tail,0.004963219165802002
21,tail,-0.7218226790428162
21,tail,0.0005133748054504395
21,tail,0.0007094740867614746
21,tail,0.0015508532524108887
37,tail,-7.736682891845703e-05
37,tail,-0.12668359279632568
37,tail,-0.6249988079071045
37,tail,-0.10325407981872559
37,tail,0.39620161056518555
10,tail,0.011632740497589111
10,tail,0.0011349916458129883
10,tail,0.014896035194396973
10,tail,0.0008327364921569824
10,tail,-0.0006449222564697266
35,tail,-7.37905502319336e-05
35,tail,-0.014618933200836182
35,tail,-0.002538919448852539
35,tail,-1.329183578491211e-05
35,tail,-5.6803226470947266e-05
28,tail,-0.001147925853729248
28,tail,-0.00226515531539917
28,tail,-0.0019231438636779785
28,tail,0.26968470215797424
28,tail,-0.0002872347831726074
29,tail,-0.2169785499572754
29,tail,-0.7360096573829651
29,tail,-0.35414057970046997
29,tail,-0.08076238632202148
29,tail,-0.5837509036064148
15,tail,-0.001626729965209961
15,tail,-0.00020551681518554688
15,tail,-7.587671279907227e-05
15,tail,-0.002837538719177246
15,tail,-0.0006992220878601074
20,tail,-0.018861770629882812
20,tail,0.007721424102783203
20,tail,0.048651814460754395
20,tail,-0.07395130395889282
20,tail,-0.016882479190826416
0,tail,-0.36768293380737305
0,tail,0.0002503395080566406
0,tail,-0.012591302394866943
0,tail,-0.0036719441413879395
0,tail,0.0008668899536132812
45,tail,-0.07407760620117188
45,tail,-0.0022107958793640137
45,tail,-0.012341797351837158
45,tail,-0.004603207111358643
45,tail,-0.5606867074966431
43,tail,-0.036555349826812744
43,tail,-0.01599264144897461
43,tail,-0.04217529296875
43,tail,-0.02163022756576538
43,tail,-0.12569540739059448
36,tail,-0.005373120307922363
36,tail,-0.0035497546195983887
36,tail,-0.1866423487663269
36,tail,-0.24492812156677246
36,tail,-0.2918933033943176
17,tail,-0.009908676147460938
17,tail,-0.006160378456115723
17,tail,-0.0285264253616333
17,tail,-0.03057175874710083
17,tail,-0.03478187322616577
44,tail,-0.0029897689819335938
44,tail,-0.39157313108444214
44,tail,-0.03672301769256592
44,tail,-0.031688153743743896
44,tail,-0.0036362409591674805
30,tail,2.777576446533203e-05
30,tail,7.033348083496094e-06
30,tail,-0.013933181762695312
30,tail,-0.0007014870643615723
30,tail,-0.0007798075675964355
39,tail,-0.3236675262451172
39,tail,-0.4887973368167877
39,tail,-0.03926458954811096
39,tail,-0.3669998347759247
39,tail,-0.337491512298584
3,tail,-0.8884702920913696
3,tail,0.009163975715637207
3,tail,-0.2657938599586487
3,tail,0.0023249387741088867
3,tail,-0.5478956699371338
32,tail,-0.5167338848114014
32,tail,-0.278975248336792
32,tail,-0.5112563371658325
32,tail,-0.6267901659011841
32,tail,-0.5091811418533325
16,tail,-0.00952380895614624
16,tail,0.00045055150985717773
16,tail,-5.5670738220214844e-05
16,tail,0.0006117820739746094
