sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
0,15,4,3,7.335332702496089e-05,-0.1799045443534851,-0.7045568585395813,0.6778794443467632,,3.6676663512480445e-05,tail
0,26,4,5,0.0015091174253029748,-0.37301613092422486,-0.5197662830352783,0.860530960559845,,0.0007545587126514874,tail
1,7,7,0,0.004907073464346467,-0.1921231746673584,-0.39529130458831785,0.09264809516713099,,0.0024535367321732336,tail
1,10,7,3,4.065206031107493e-05,-0.15122421979904174,-0.3489824771881104,0.45272181418746416,,2.0326030155537465e-05,tail
1,18,7,8,7.525364562752657e-05,-0.26090517044067385,-0.23506562709808348,0.8915034770965576,,3.7626822813763286e-05,tail
1,22,7,1,0.00020872059140515377,-0.19822555780410767,-0.21139931678771973,0.6141429456925834,,0.00010436029570257688,tail
1,45,7,6,0.00017065065926544776,-0.037132859230041504,-0.034057998657226564,0.13534291967417858,,8.532532963272388e-05,tail
2,3,4,8,0.0005326250613961747,-0.3141075372695923,-0.6794183611869812,0.8135030716657639,,0.00026631253069808736,tail
2,6,4,8,0.14166131323436276,-0.3141075372695923,-0.6794183611869812,0.8135030716657639,,0.07083065661718138,tail
2,25,4,3,2.5630900154283153e-06,-0.1200290560722351,-0.6124509334564209,0.701851524412632,,1.2815450077141576e-06,tail
2,42,4,0,0.0024493057376730578,-0.06232810020446777,-0.664514172077179,0.2846436989377253,,0.0012246528688365289,tail
2,47,4,8,0.001660236139287008,-0.3141075372695923,-0.6794183611869812,0.8135030716657639,,0.000830118069643504,tail
3,9,8,5,0.0004541810376395006,-0.2773971617221832,-0.6729018062353134,0.5461612580227666,,0.0002270905188197503,tail
3,15,8,3,0.00014766352945798643,-0.4214763522148132,-0.6422434002161026,0.42678564835805444,,7.383176472899322e-05,tail
3,32,8,6,0.004554786626249552,-0.34015578031539917,-0.5993083506822586,0.4295726111740805,,0.002277393313124776,tail
3,34,8,2,2.122795683590084e-05,-0.4990100979804993,-0.6759580284357071,0.5850283610634506,,1.061397841795042e-05,tail
