species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
1,Black footed Albatross,30,4,0,26,0.13333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
143,Caspian Tern,30,13,21,17,0.43333333333333335,11,0.8461538461538461,0.5238095238095238,0.8614450092391269,0.6788461538461539,1.0,0.3211538461538461,100,has_upper_tail_color::white,baseline
120,Fox Sparrow,30,4,0,26,0.13333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
121,Grasshopper Sparrow,30,5,6,25,0.16666666666666666,3,0.6,0.5,0.5708928571428572,0.0,1.0,1.0,100,has_upper_tail_color::white,baseline
122,Harris Sparrow,30,3,1,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
123,Henslow Sparrow,30,3,1,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
126,Nelson Sharp tailed Sparrow,30,3,0,27,0.1,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
127,Savannah Sparrow,30,3,1,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
128,Seaside Sparrow,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,baseline
129,Song Sparrow,30,1,1,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
130,Tree Sparrow,30,2,0,28,0.06666666666666667,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
131,Vesper Sparrow,30,5,4,25,0.16666666666666666,2,0.4,0.5,0.3711800144300143,0.0,0.8174999999999998,0.8174999999999998,100,has_upper_tail_color::white,baseline
132,White crowned Sparrow,30,4,3,26,0.13333333333333333,1,0.25,0.3333333333333333,0.2945833333333333,0.0,1.0,1.0,100,has_upper_tail_color::white,baseline
133,White throated Sparrow,30,1,0,29,0.03333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
134,Cape Glossy Starling,30,1,0,29,0.03333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
135,Bank Swallow,30,4,0,26,0.13333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
136,Barn Swallow,30,2,0,28,0.06666666666666667,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,baseline
