species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,precision,recall_bs_mean,recall_ci_lo,recall_ci_hi,recall_ci_width,B,attr,model
1,Black footed Albatross,30,4,5,26,0.13333333333333333,2,0.5,0.4,0.4952057013281502,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
143,Caspian Tern,30,13,28,17,0.43333333333333335,12,0.9230769230769231,0.42857142857142855,0.9304322703440352,0.7647058823529411,1.0,0.23529411764705888,100,has_upper_tail_color::white,cbm
120,Fox Sparrow,30,4,4,26,0.13333333333333333,2,0.5,0.5,0.4787555228276878,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
121,Grasshopper Sparrow,30,5,10,25,0.16666666666666666,3,0.6,0.3,0.6065079365079366,0.07916666666666668,1.0,0.9208333333333333,100,has_upper_tail_color::white,cbm
122,Harris Sparrow,30,3,8,27,0.1,1,0.3333333333333333,0.125,0.3779042386185244,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
123,Henslow Sparrow,30,3,8,27,0.1,1,0.3333333333333333,0.125,0.3843718338399189,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
126,Nelson Sharp tailed Sparrow,30,3,3,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
127,Savannah Sparrow,30,3,8,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
128,Seaside Sparrow,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
129,Song Sparrow,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
130,Tree Sparrow,30,2,9,28,0.06666666666666667,2,1.0,0.2222222222222222,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
131,Vesper Sparrow,30,5,10,25,0.16666666666666666,2,0.4,0.2,0.3711800144300143,0.0,0.8174999999999998,0.8174999999999998,100,has_upper_tail_color::white,cbm
132,White crowned Sparrow,30,4,7,26,0.13333333333333333,1,0.25,0.14285714285714285,0.2945833333333333,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
133,White throated Sparrow,30,1,6,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
134,Cape Glossy Starling,30,1,0,29,0.03333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
135,Bank Swallow,30,4,3,26,0.13333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
136,Barn Swallow,30,2,0,28,0.06666666666666667,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
137,Cliff Swallow,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
138,Tree Swallow,30,1,2,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
139,Scarlet Tanager,30,0,3,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
140,Summer Tanager,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
118,House Sparrow,30,2,4,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
116,Chipping Sparrow,30,3,6,27,0.1,1,0.3333333333333333,0.16666666666666666,0.3416666666666667,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
114,Black throated Sparrow,30,1,2,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
2,Laysan Albatross,30,5,13,25,0.16666666666666666,2,0.4,0.15384615384615385,0.4111507936507936,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
92,Nighthawk,30,8,17,22,0.26666666666666666,5,0.625,0.29411764705882354,0.6444506049506049,0.2633333333333333,1.0,0.7366666666666667,100,has_upper_tail_color::white,cbm
93,Clark Nutcracker,30,10,16,20,0.3333333333333333,5,0.5,0.3125,0.5054433825977944,0.17,0.8328671328671327,0.6628671328671326,100,has_upper_tail_color::white,cbm
94,White breasted Nuthatch,30,4,14,26,0.13333333333333333,2,0.5,0.14285714285714285,0.48303598758144206,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
95,Baltimore Oriole,30,0,2,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
96,Hooded Oriole,30,1,2,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
98,Scott Oriole,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
99,Ovenbird,30,0,8,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
100,Brown Pelican,30,2,12,28,0.06666666666666667,1,0.5,0.08333333333333333,0.47678571428571426,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
102,Western Wood Pewee,30,0,2,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
112,Great Grey Shrike,30,9,5,21,0.3,3,0.3333333333333333,0.6,0.2987064047064047,0.0,0.5864285714285712,0.5864285714285712,100,has_upper_tail_color::white,cbm
103,Sayornis,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
104,American Pipit,30,3,2,27,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
106,Horned Puffin,30,3,5,27,0.1,1,0.3333333333333333,0.2,0.3942808051055474,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
107,Common Raven,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
108,White necked Raven,30,0,1,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
109,American Redstart,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
110,Geococcyx,30,5,15,25,0.16666666666666666,2,0.4,0.13333333333333333,0.38220808372323517,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
111,Loggerhead Shrike,30,8,9,22,0.26666666666666666,5,0.625,0.5555555555555556,0.5824209956709956,0.07916666666666668,0.8947222222222221,0.8155555555555554,100,has_upper_tail_color::white,cbm
142,Black Tern,30,10,14,20,0.3333333333333333,4,0.4,0.2857142857142857,0.39520515595515593,0.11160714285714285,0.6666666666666666,0.5550595238095237,100,has_upper_tail_color::white,cbm
144,Common Tern,30,12,27,18,0.4,11,0.9166666666666666,0.4074074074074074,0.9120559200001924,0.75,1.0,0.25,100,has_upper_tail_color::white,cbm
90,Red breasted Merganser,30,5,10,25,0.16666666666666666,1,0.2,0.1,0.18693722943722943,0.0,0.5524999999999991,0.5524999999999991,100,has_upper_tail_color::white,cbm
145,Elegant Tern,30,12,25,18,0.4,11,0.9166666666666666,0.44,0.9224111599185127,0.7591346153846154,1.0,0.24086538461538465,100,has_upper_tail_color::white,cbm
176,Prairie Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
177,Prothonotary Warbler,30,0,1,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
180,Wilson Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
182,Yellow Warbler,30,0,1,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
183,Northern Waterthrush,30,1,2,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
184,Louisiana Waterthrush,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
185,Bohemian Waxwing,30,0,8,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
186,Cedar Waxwing,30,6,4,24,0.2,2,0.3333333333333333,0.5,0.3513977411477412,0.0,0.9321428571428559,0.9321428571428559,100,has_upper_tail_color::white,cbm
188,Pileated Woodpecker,30,0,2,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
189,Red bellied Woodpecker,30,15,28,15,0.5,13,0.8666666666666667,0.4642857142857143,0.8671274257797512,0.6666666666666666,1.0,0.33333333333333337,100,has_upper_tail_color::white,cbm
191,Red headed Woodpecker,30,15,16,15,0.5,10,0.6666666666666666,0.625,0.6494186580962896,0.39192307692307693,0.8386363636363633,0.44671328671328636,100,has_upper_tail_color::white,cbm
192,Downy Woodpecker,30,13,19,17,0.43333333333333335,10,0.7692307692307693,0.5263157894736842,0.7448527457664454,0.47613636363636364,0.9355208333333334,0.4593844696969697,100,has_upper_tail_color::white,cbm
193,Bewick Wren,30,2,2,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
194,Cactus Wren,30,5,11,25,0.16666666666666666,2,0.4,0.18181818181818182,0.42153751803751804,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
195,Carolina Wren,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
196,House Wren,30,3,3,27,0.1,1,0.3333333333333333,0.3333333333333333,0.33214285714285713,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
197,Marsh Wren,30,2,2,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
198,Rock Wren,30,1,6,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
199,Winter Wren,30,3,0,27,0.1,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
175,Pine Warbler,30,4,6,26,0.13333333333333333,1,0.25,0.16666666666666666,0.2793333333333333,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
174,Palm Warbler,30,1,0,29,0.03333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
173,Orange crowned Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
158,Bay breasted Warbler,30,4,18,26,0.13333333333333333,2,0.5,0.1111111111111111,0.49261418853255584,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
146,Forsters Tern,30,16,27,14,0.5333333333333333,15,0.9375,0.5555555555555556,0.9350517444371933,0.7883333333333333,1.0,0.21166666666666667,100,has_upper_tail_color::white,cbm
147,Least Tern,30,8,22,22,0.26666666666666666,6,0.75,0.2727272727272727,0.7591254856254857,0.42857142857142855,1.0,0.5714285714285714,100,has_upper_tail_color::white,cbm
148,Green tailed Towhee,30,2,0,28,0.06666666666666667,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
150,Sage Thrasher,30,2,7,28,0.06666666666666667,2,1.0,0.2857142857142857,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
152,Blue headed Vireo,30,0,4,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
154,Red eyed Vireo,30,0,3,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
155,Warbling Vireo,30,1,2,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
156,White eyed Vireo,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
159,Black and white Warbler,30,14,27,16,0.4666666666666667,14,1.0,0.5185185185185185,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
172,Nashville Warbler,30,2,1,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
161,Blue winged Warbler,30,1,3,29,0.03333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
162,Canada Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
163,Cape May Warbler,30,2,3,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
164,Cerulean Warbler,30,5,8,25,0.16666666666666666,2,0.4,0.25,0.4166010101010101,0.0,0.920833333333332,0.920833333333332,100,has_upper_tail_color::white,cbm
165,Chestnut sided Warbler,30,3,16,27,0.1,1,0.3333333333333333,0.0625,0.3692257855523162,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
167,Hooded Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
170,Mourning Warbler,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
171,Myrtle Warbler,30,2,11,28,0.06666666666666667,2,1.0,0.18181818181818182,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
91,Mockingbird,30,2,9,28,0.06666666666666667,1,0.5,0.1111111111111111,0.43948412698412703,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
200,Common Yellowthroat,30,0,1,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
89,Hooded Merganser,30,2,5,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
26,Bronzed Cowbird,30,1,0,29,0.03333333333333333,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
61,Heermann Gull,30,10,16,20,0.3333333333333333,8,0.8,0.5,0.8000371964636669,0.5454545454545454,1.0,0.4545454545454546,100,has_upper_tail_color::white,cbm
59,California Gull,30,12,27,18,0.4,12,1.0,0.4444444444444444,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
25,Pelagic Cormorant,30,2,0,28,0.06666666666666667,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
57,Rose breasted Grosbeak,30,5,16,25,0.16666666666666666,1,0.2,0.0625,0.2038373015873016,0.0,0.6349999999999993,0.6349999999999993,100,has_upper_tail_color::white,cbm
56,Pine Grosbeak,30,1,10,29,0.03333333333333333,1,1.0,0.1,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
55,Evening Grosbeak,30,5,13,25,0.16666666666666666,3,0.6,0.23076923076923078,0.5769320185986853,0.07500000000000002,1.0,0.9249999999999999,100,has_upper_tail_color::white,cbm
54,Blue Grosbeak,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
53,Western Grebe,30,2,20,28,0.06666666666666667,2,1.0,0.1,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
52,Pied billed Grebe,30,3,0,27,0.1,0,0.0,,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
51,Horned Grebe,30,2,3,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
50,Eared Grebe,30,4,7,26,0.13333333333333333,1,0.25,0.14285714285714285,0.2940912698412698,0.0,0.8812499999999979,0.8812499999999979,100,has_upper_tail_color::white,cbm
49,Boat tailed Grackle,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
48,European Goldfinch,30,13,16,17,0.43333333333333335,6,0.46153846153846156,0.375,0.439776489033842,0.1713235294117647,0.7038461538461537,0.532522624434389,100,has_upper_tail_color::white,cbm
47,American Goldfinch,30,12,15,18,0.4,7,0.5833333333333334,0.4666666666666667,0.5972914407144283,0.28154761904761905,0.9047727272727272,0.6232251082251081,100,has_upper_tail_color::white,cbm
63,Ivory Gull,30,26,27,4,0.8666666666666667,24,0.9230769230769231,0.8888888888888888,0.9248867931252491,0.8302499999999999,1.0,0.16975000000000007,100,has_upper_tail_color::white,cbm
46,Gadwall,30,1,7,29,0.03333333333333333,1,1.0,0.14285714285714285,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
45,Northern Fulmar,30,10,20,20,0.3333333333333333,6,0.6,0.3,0.5747304827525417,0.2925,0.8881249999999998,0.5956249999999998,100,has_upper_tail_color::white,cbm
44,Frigatebird,30,0,1,30,0.0,0,,0.0,,,,,100,has_upper_tail_color::white,cbm
88,Western Meadowlark,30,5,13,25,0.16666666666666666,2,0.4,0.15384615384615385,0.4288571428571429,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
42,Vermilion Flycatcher,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
41,Scissor tailed Flycatcher,30,6,14,24,0.2,4,0.6666666666666666,0.2857142857142857,0.6571906426906428,0.3333333333333333,1.0,0.6666666666666667,100,has_upper_tail_color::white,cbm
27,Shiny Cowbird,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
40,Olive sided Flycatcher,30,2,2,28,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,100,has_upper_tail_color::white,cbm
38,Great Crested Flycatcher,30,1,2,29,0.03333333333333333,1,1.0,0.5,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
36,Northern Flicker,30,4,17,26,0.13333333333333333,4,1.0,0.23529411764705882,1.0,1.0,1.0,0.0,100,has_upper_tail_color::white,cbm
29,American Crow,30,0,0,30,0.0,0,,,,,,,100,has_upper_tail_color::white,cbm
35,Purple Finch,30,6,6,24,0.2,3,0.5,0.5,0.4990710678210678,0.0,1.0,1.0,100,has_upper_tail_color::white,cbm
