concept,j,overall_soft_recall,n_pairs,mean_gap,p90_gap,mean_w,pos_bin_rate,corr_pred_w
"a large, hawk-like body",62,0.6936723233242075,200,0.14795882154063453,0.30759322163575353,0.723033607006073,0.1,0.42900257528014546
long wingspan,191,0.7619026215955966,200,0.13005485671351147,0.30970692477532336,0.7924246191978455,0.1,0.5538922870601276
a red head,82,0.7561702420069277,200,0.16066661375064922,0.45290815506130866,0.6858806014060974,0.1,0.5746729903713504
red shoulders,213,0.7649581734139748,200,0.10903609226436818,0.20511442882979336,0.7488547563552856,0.1,0.5369882373570738
red feathers,211,0.754537992459078,200,0.1498793879039067,0.31222386493575655,0.7447155714035034,0.1,0.5252042824916889
large feet,187,0.7425150716501263,200,0.149954578877945,0.32419992524803165,0.7514843940734863,0.1,0.5064659908796627
a Scarlet-red body,6,0.7627849379319604,200,0.10386101738141673,0.20104163005628034,0.7268760204315186,0.1,0.5245205548442193
a red cap on the head,78,0.7388619542651051,200,0.11282773594757577,0.24469720074081958,0.7361266016960144,0.1,0.5268179336270224
orange and black wings,200,0.7721837836616618,200,0.12033735212543488,0.24533054951079347,0.6399999260902405,0.1,0.7333935615590889
a red throat,84,0.7245367837557639,200,0.13090568881337894,0.246659035181088,0.8165351152420044,0.1,0.5815300239401184
"a small, blue bird",98,0.7948869125056964,200,0.10033897681144055,0.2364634474921764,0.7190468311309814,0.1,0.6024503216721413
a red belly,76,0.7545436596128513,200,0.10387005640656846,0.1820026987926829,0.7537309527397156,0.1,0.491620185476454
