sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
29,32,American Crow,Mangrove Cuckoo,0.13811488616604298,4.454344839925676e-08,3,11,12,0.13811483869116112,0.13811491676147464,0.0,3100608.294171793,"a large, hawk-like body",62
29,33,American Crow,Yellow billed Cuckoo,0.08230857539657721,0.01372319112536127,6,11,17,0.07345025512785752,0.10002513895830334,0.0,5.99777228479084,"a large, hawk-like body",62
29,40,American Crow,Olive sided Flycatcher,0.08646483365763213,0.0009577765319395814,6,10,19,0.08584656251194034,0.08770131784304047,0.0,90.27662579313427,"a large, hawk-like body",62
29,59,American Crow,California Gull,0.11455963011503105,0.0010708099421911032,3,10,19,0.11341590015953737,0.115177862523406,0.0,106.98409259595944,"a large, hawk-like body",62
29,72,American Crow,Pomarine Jaeger,0.23002180189947208,0.003944701452897767,12,11,18,0.2246806508831113,0.23269237740765247,0.0,58.31158696995613,"a large, hawk-like body",62
29,108,American Crow,White necked Raven,0.0963663224273305,2.4056882036409344e-08,9,11,18,0.09636629065362567,0.09636634211793449,0.0,4005602.9155637687,"a large, hawk-like body",62
29,137,American Crow,Cliff Swallow,0.08421604763308337,0.0009577663467987841,6,10,19,0.08297957659618016,0.08483428315153496,0.0,87.9296373553273,"a large, hawk-like body",62
29,149,American Crow,Brown Thrasher,0.14778603685833205,0.002543255151910904,6,11,17,0.1461443464153812,0.1510693651410273,0.0,58.10900911345144,"a large, hawk-like body",62
29,190,American Crow,Red cockaded Woodpecker,0.18017935389542095,0.0038453453472498326,3,11,15,0.17628949424646162,0.18351703349365364,0.0,46.8564816882904,"a large, hawk-like body",62
32,29,Mangrove Cuckoo,American Crow,0.13811488616604298,3.8575757886050275e-08,9,11,12,0.13811483514731593,0.1381149173265933,0.0,3580261.6325097303,"a large, hawk-like body",62
32,33,Mangrove Cuckoo,Yellow billed Cuckoo,0.055806310769465774,0.013723175743240733,6,11,12,0.03808976706591638,0.06466458522302254,0.0,4.066574079464533,"a large, hawk-like body",62
32,59,Mangrove Cuckoo,California Gull,0.2542356727847455,0.013869138590555918,3,10,12,0.24622828157443116,0.26904927418677405,0.0,18.331035565506156,"a large, hawk-like body",62
32,108,Mangrove Cuckoo,White necked Raven,0.041748563738712496,1.676875599653561e-08,3,11,12,0.04174854584469516,0.0417485750239153,0.0,2489515.27662878,"a large, hawk-like body",62
32,135,Mangrove Cuckoo,Bank Swallow,0.08553437394457108,6.913663143398656e-08,6,11,12,0.08553432931706739,0.08553446319957847,0.0,1237160.894443431,"a large, hawk-like body",62
32,137,Mangrove Cuckoo,Cliff Swallow,0.22389209030279786,0.01386913320374515,3,10,12,0.21588470220256012,0.23870568595118458,0.0,16.143192728597917,"a large, hawk-like body",62
32,190,Mangrove Cuckoo,Red cockaded Woodpecker,0.04206446772937796,0.0038453063420463033,3,11,12,0.03817465499018183,0.045402126904315235,0.0,10.939172065041229,"a large, hawk-like body",62
33,59,Yellow billed Cuckoo,California Gull,0.1983200233998147,0.011166342038642559,3,10,17,0.18638277011556004,0.20502688045549058,0.0,17.76051841290033,"a large, hawk-like body",62
33,72,Yellow billed Cuckoo,Pomarine Jaeger,0.1446588247606556,4.140489200651914e-08,3,12,17,0.14465880085553007,0.14465886898513788,0.0,3493677.2944748984,"a large, hawk-like body",62
33,108,Yellow billed Cuckoo,White necked Raven,0.016496949996001303,0.011118160182169361,3,11,17,0.004621664726196617,0.02291603425019793,0.0,1.483784162506881,"a large, hawk-like body",62
33,110,Yellow billed Cuckoo,Geococcyx,0.03649681128325233,0.009987451525728294,6,10,17,0.023607453791510524,0.043232750326838265,0.0,3.6542666750952444,"a large, hawk-like body",62
33,135,Yellow billed Cuckoo,Bank Swallow,0.029728063175105308,0.013723141175045478,6,11,17,0.020869749297608986,0.04744456225115101,0.0,2.1662724877448123,"a large, hawk-like body",62
33,137,Yellow billed Cuckoo,Cliff Swallow,0.167976440917867,0.009670333435655943,9,10,17,0.15508705071147877,0.17471242068643889,0.0,17.370284284215355,"a large, hawk-like body",62
