species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
1,Black footed Albatross,30,4,0,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
143,Caspian Tern,30,13,21,17,0.43333333333333335,11,0.8461538461538461,has_upper_tail_color::white,baseline
120,Fox Sparrow,30,4,0,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
121,Grasshopper Sparrow,30,5,6,25,0.16666666666666666,3,0.6,has_upper_tail_color::white,baseline
122,Harris Sparrow,30,3,1,27,0.1,0,0.0,has_upper_tail_color::white,baseline
123,Henslow Sparrow,30,3,1,27,0.1,0,0.0,has_upper_tail_color::white,baseline
126,Nelson Sharp tailed Sparrow,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
127,Savannah Sparrow,30,3,1,27,0.1,0,0.0,has_upper_tail_color::white,baseline
128,Seaside Sparrow,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
129,Song Sparrow,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
130,Tree Sparrow,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
131,Vesper Sparrow,30,5,4,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,baseline
132,White crowned Sparrow,30,4,3,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,baseline
133,White throated Sparrow,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
134,Cape Glossy Starling,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
135,Bank Swallow,30,4,0,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
136,Barn Swallow,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
137,Cliff Swallow,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
138,Tree Swallow,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
139,Scarlet Tanager,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
140,Summer Tanager,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
118,House Sparrow,30,2,2,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,baseline
116,Chipping Sparrow,30,3,1,27,0.1,0,0.0,has_upper_tail_color::white,baseline
114,Black throated Sparrow,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
2,Laysan Albatross,30,5,3,25,0.16666666666666666,1,0.2,has_upper_tail_color::white,baseline
92,Nighthawk,30,8,11,22,0.26666666666666666,1,0.125,has_upper_tail_color::white,baseline
93,Clark Nutcracker,30,10,3,20,0.3333333333333333,1,0.1,has_upper_tail_color::white,baseline
94,White breasted Nuthatch,30,4,3,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,baseline
95,Baltimore Oriole,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
96,Hooded Oriole,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
98,Scott Oriole,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
99,Ovenbird,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
100,Brown Pelican,30,2,6,28,0.06666666666666667,1,0.5,has_upper_tail_color::white,baseline
102,Western Wood Pewee,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
112,Great Grey Shrike,30,9,2,21,0.3,2,0.2222222222222222,has_upper_tail_color::white,baseline
103,Sayornis,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
104,American Pipit,30,3,0,27,0.1,0,0.0,has_upper_tail_color::white,baseline
106,Horned Puffin,30,3,3,27,0.1,0,0.0,has_upper_tail_color::white,baseline
107,Common Raven,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
108,White necked Raven,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
109,American Redstart,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
110,Geococcyx,30,5,2,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
111,Loggerhead Shrike,30,8,3,22,0.26666666666666666,2,0.25,has_upper_tail_color::white,baseline
142,Black Tern,30,10,5,20,0.3333333333333333,2,0.2,has_upper_tail_color::white,baseline
144,Common Tern,30,12,19,18,0.4,9,0.75,has_upper_tail_color::white,baseline
90,Red breasted Merganser,30,5,2,25,0.16666666666666666,0,0.0,has_upper_tail_color::white,baseline
145,Elegant Tern,30,12,23,18,0.4,11,0.9166666666666666,has_upper_tail_color::white,baseline
176,Prairie Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
177,Prothonotary Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
180,Wilson Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
182,Yellow Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,baseline
183,Northern Waterthrush,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
184,Louisiana Waterthrush,30,1,1,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,baseline
185,Bohemian Waxwing,30,0,3,30,0.0,0,,has_upper_tail_color::white,baseline
186,Cedar Waxwing,30,6,0,24,0.2,0,0.0,has_upper_tail_color::white,baseline
