species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
1,Black footed Albatross,30,4,5,26,0.13333333333333333,2,0.5,has_upper_tail_color::white,cbm
143,Caspian Tern,30,13,28,17,0.43333333333333335,12,0.9230769230769231,has_upper_tail_color::white,cbm
120,Fox Sparrow,30,4,4,26,0.13333333333333333,2,0.5,has_upper_tail_color::white,cbm
121,Grasshopper Sparrow,30,5,10,25,0.16666666666666666,3,0.6,has_upper_tail_color::white,cbm
122,Harris Sparrow,30,3,8,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
123,Henslow Sparrow,30,3,8,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
126,Nelson Sharp tailed Sparrow,30,3,3,27,0.1,0,0.0,has_upper_tail_color::white,cbm
127,Savannah Sparrow,30,3,8,27,0.1,0,0.0,has_upper_tail_color::white,cbm
128,Seaside Sparrow,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
129,Song Sparrow,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
130,Tree Sparrow,30,2,9,28,0.06666666666666667,2,1.0,has_upper_tail_color::white,cbm
131,Vesper Sparrow,30,5,10,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,cbm
132,White crowned Sparrow,30,4,7,26,0.13333333333333333,1,0.25,has_upper_tail_color::white,cbm
133,White throated Sparrow,30,1,6,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
134,Cape Glossy Starling,30,1,0,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
135,Bank Swallow,30,4,3,26,0.13333333333333333,0,0.0,has_upper_tail_color::white,cbm
136,Barn Swallow,30,2,0,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
137,Cliff Swallow,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
138,Tree Swallow,30,1,2,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
139,Scarlet Tanager,30,0,3,30,0.0,0,,has_upper_tail_color::white,cbm
140,Summer Tanager,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
118,House Sparrow,30,2,4,28,0.06666666666666667,0,0.0,has_upper_tail_color::white,cbm
116,Chipping Sparrow,30,3,6,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
114,Black throated Sparrow,30,1,2,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
2,Laysan Albatross,30,5,13,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,cbm
92,Nighthawk,30,8,17,22,0.26666666666666666,5,0.625,has_upper_tail_color::white,cbm
93,Clark Nutcracker,30,10,16,20,0.3333333333333333,5,0.5,has_upper_tail_color::white,cbm
94,White breasted Nuthatch,30,4,14,26,0.13333333333333333,2,0.5,has_upper_tail_color::white,cbm
95,Baltimore Oriole,30,0,2,30,0.0,0,,has_upper_tail_color::white,cbm
96,Hooded Oriole,30,1,2,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
98,Scott Oriole,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
99,Ovenbird,30,0,8,30,0.0,0,,has_upper_tail_color::white,cbm
100,Brown Pelican,30,2,12,28,0.06666666666666667,1,0.5,has_upper_tail_color::white,cbm
102,Western Wood Pewee,30,0,2,30,0.0,0,,has_upper_tail_color::white,cbm
112,Great Grey Shrike,30,9,5,21,0.3,3,0.3333333333333333,has_upper_tail_color::white,cbm
103,Sayornis,30,1,3,29,0.03333333333333333,0,0.0,has_upper_tail_color::white,cbm
104,American Pipit,30,3,2,27,0.1,0,0.0,has_upper_tail_color::white,cbm
106,Horned Puffin,30,3,5,27,0.1,1,0.3333333333333333,has_upper_tail_color::white,cbm
107,Common Raven,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
108,White necked Raven,30,0,1,30,0.0,0,,has_upper_tail_color::white,cbm
109,American Redstart,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
110,Geococcyx,30,5,15,25,0.16666666666666666,2,0.4,has_upper_tail_color::white,cbm
111,Loggerhead Shrike,30,8,9,22,0.26666666666666666,5,0.625,has_upper_tail_color::white,cbm
142,Black Tern,30,10,14,20,0.3333333333333333,4,0.4,has_upper_tail_color::white,cbm
144,Common Tern,30,12,27,18,0.4,11,0.9166666666666666,has_upper_tail_color::white,cbm
90,Red breasted Merganser,30,5,10,25,0.16666666666666666,1,0.2,has_upper_tail_color::white,cbm
145,Elegant Tern,30,12,25,18,0.4,11,0.9166666666666666,has_upper_tail_color::white,cbm
176,Prairie Warbler,30,0,0,30,0.0,0,,has_upper_tail_color::white,cbm
