species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
1,Black footed Albatross,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
143,Caspian Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
120,Fox Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
121,Grasshopper Sparrow,30,1,6,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
122,Harris Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
123,Henslow Sparrow,30,2,5,28,0.06666666666666667,1,0.5,has_primary_color::yellow,baseline
126,Nelson Sharp tailed Sparrow,30,4,7,26,0.13333333333333333,3,0.75,has_primary_color::yellow,baseline
127,Savannah Sparrow,30,1,4,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
128,Seaside Sparrow,30,0,14,30,0.0,0,,has_primary_color::yellow,baseline
129,Song Sparrow,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
130,Tree Sparrow,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
131,Vesper Sparrow,30,0,3,30,0.0,0,,has_primary_color::yellow,baseline
132,White crowned Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
133,White throated Sparrow,30,3,4,27,0.1,1,0.3333333333333333,has_primary_color::yellow,baseline
134,Cape Glossy Starling,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
135,Bank Swallow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
136,Barn Swallow,30,1,5,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
137,Cliff Swallow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
138,Tree Swallow,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
139,Scarlet Tanager,30,0,8,30,0.0,0,,has_primary_color::yellow,baseline
140,Summer Tanager,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
118,House Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
116,Chipping Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
114,Black throated Sparrow,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
2,Laysan Albatross,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
92,Nighthawk,30,1,1,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
93,Clark Nutcracker,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
94,White breasted Nuthatch,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
95,Baltimore Oriole,30,16,30,14,0.5333333333333333,16,1.0,has_primary_color::yellow,baseline
96,Hooded Oriole,30,23,29,7,0.7666666666666667,23,1.0,has_primary_color::yellow,baseline
98,Scott Oriole,30,27,30,3,0.9,27,1.0,has_primary_color::yellow,baseline
99,Ovenbird,30,3,8,27,0.1,1,0.3333333333333333,has_primary_color::yellow,baseline
100,Brown Pelican,30,1,1,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
102,Western Wood Pewee,30,1,3,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
112,Great Grey Shrike,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
103,Sayornis,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
104,American Pipit,30,2,3,28,0.06666666666666667,0,0.0,has_primary_color::yellow,baseline
106,Horned Puffin,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
107,Common Raven,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
108,White necked Raven,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
109,American Redstart,30,9,13,21,0.3,6,0.6666666666666666,has_primary_color::yellow,baseline
110,Geococcyx,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
111,Loggerhead Shrike,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
142,Black Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
144,Common Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
90,Red breasted Merganser,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
145,Elegant Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
176,Prairie Warbler,30,29,30,1,0.9666666666666667,29,1.0,has_primary_color::yellow,baseline
177,Prothonotary Warbler,30,30,30,0,1.0,30,1.0,has_primary_color::yellow,baseline
180,Wilson Warbler,30,30,29,0,1.0,29,0.9666666666666667,has_primary_color::yellow,baseline
182,Yellow Warbler,30,30,30,0,1.0,30,1.0,has_primary_color::yellow,baseline
183,Northern Waterthrush,30,2,7,28,0.06666666666666667,1,0.5,has_primary_color::yellow,baseline
184,Louisiana Waterthrush,30,1,2,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
185,Bohemian Waxwing,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
186,Cedar Waxwing,30,5,16,25,0.16666666666666666,3,0.6,has_primary_color::yellow,baseline
188,Pileated Woodpecker,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
189,Red bellied Woodpecker,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
191,Red headed Woodpecker,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
192,Downy Woodpecker,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
193,Bewick Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
194,Cactus Wren,30,1,2,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
195,Carolina Wren,30,4,1,26,0.13333333333333333,1,0.25,has_primary_color::yellow,baseline
196,House Wren,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
197,Marsh Wren,30,0,4,30,0.0,0,,has_primary_color::yellow,baseline
198,Rock Wren,30,1,2,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
199,Winter Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
175,Pine Warbler,30,23,29,7,0.7666666666666667,22,0.9565217391304348,has_primary_color::yellow,baseline
174,Palm Warbler,30,17,22,13,0.5666666666666667,14,0.8235294117647058,has_primary_color::yellow,baseline
173,Orange crowned Warbler,30,14,26,16,0.4666666666666667,13,0.9285714285714286,has_primary_color::yellow,baseline
158,Bay breasted Warbler,30,0,5,30,0.0,0,,has_primary_color::yellow,baseline
146,Forsters Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
147,Least Tern,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
148,Green tailed Towhee,30,6,18,24,0.2,2,0.3333333333333333,has_primary_color::yellow,baseline
150,Sage Thrasher,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
152,Blue headed Vireo,30,12,21,18,0.4,10,0.8333333333333334,has_primary_color::yellow,baseline
154,Red eyed Vireo,30,10,14,20,0.3333333333333333,7,0.7,has_primary_color::yellow,baseline
155,Warbling Vireo,30,3,13,27,0.1,2,0.6666666666666666,has_primary_color::yellow,baseline
156,White eyed Vireo,30,18,30,12,0.6,18,1.0,has_primary_color::yellow,baseline
159,Black and white Warbler,30,1,3,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
172,Nashville Warbler,30,24,29,6,0.8,23,0.9583333333333334,has_primary_color::yellow,baseline
161,Blue winged Warbler,30,28,30,2,0.9333333333333333,28,1.0,has_primary_color::yellow,baseline
162,Canada Warbler,30,27,30,3,0.9,27,1.0,has_primary_color::yellow,baseline
163,Cape May Warbler,30,27,28,3,0.9,25,0.9259259259259259,has_primary_color::yellow,baseline
164,Cerulean Warbler,30,2,2,28,0.06666666666666667,1,0.5,has_primary_color::yellow,baseline
165,Chestnut sided Warbler,30,12,20,18,0.4,10,0.8333333333333334,has_primary_color::yellow,baseline
167,Hooded Warbler,30,27,30,3,0.9,27,1.0,has_primary_color::yellow,baseline
170,Mourning Warbler,30,20,29,10,0.6666666666666666,19,0.95,has_primary_color::yellow,baseline
171,Myrtle Warbler,30,9,20,21,0.3,6,0.6666666666666666,has_primary_color::yellow,baseline
91,Mockingbird,30,1,4,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
200,Common Yellowthroat,30,23,30,7,0.7666666666666667,23,1.0,has_primary_color::yellow,baseline
89,Hooded Merganser,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
26,Bronzed Cowbird,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
61,Heermann Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
59,California Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
25,Pelagic Cormorant,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
57,Rose breasted Grosbeak,30,0,3,30,0.0,0,,has_primary_color::yellow,baseline
56,Pine Grosbeak,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
55,Evening Grosbeak,30,20,28,10,0.6666666666666666,19,0.95,has_primary_color::yellow,baseline
54,Blue Grosbeak,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
53,Western Grebe,30,1,2,29,0.03333333333333333,1,1.0,has_primary_color::yellow,baseline
52,Pied billed Grebe,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
51,Horned Grebe,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
50,Eared Grebe,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
49,Boat tailed Grackle,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
48,European Goldfinch,30,12,13,18,0.4,6,0.5,has_primary_color::yellow,baseline
47,American Goldfinch,30,28,30,2,0.9333333333333333,28,1.0,has_primary_color::yellow,baseline
63,Ivory Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
46,Gadwall,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
45,Northern Fulmar,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
44,Frigatebird,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
88,Western Meadowlark,30,21,24,9,0.7,18,0.8571428571428571,has_primary_color::yellow,baseline
42,Vermilion Flycatcher,30,0,4,30,0.0,0,,has_primary_color::yellow,baseline
41,Scissor tailed Flycatcher,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
27,Shiny Cowbird,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
40,Olive sided Flycatcher,30,2,2,28,0.06666666666666667,0,0.0,has_primary_color::yellow,baseline
38,Great Crested Flycatcher,30,14,20,16,0.4666666666666667,12,0.8571428571428571,has_primary_color::yellow,baseline
36,Northern Flicker,30,3,0,27,0.1,0,0.0,has_primary_color::yellow,baseline
29,American Crow,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
35,Purple Finch,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
30,Fish Crow,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
21,Eastern Towhee,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
62,Herring Gull,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
64,Ring billed Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
73,Blue Jay,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
87,Mallard,30,2,1,28,0.06666666666666667,1,0.5,has_primary_color::yellow,baseline
86,Pacific Loon,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
85,Horned Lark,30,4,9,26,0.13333333333333333,3,0.75,has_primary_color::yellow,baseline
4,Groove billed Ani,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
83,White breasted Kingfisher,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
82,Ringed Kingfisher,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
81,Pied Kingfisher,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
80,Green Kingfisher,30,0,2,30,0.0,0,,has_primary_color::yellow,baseline
79,Belted Kingfisher,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
10,Red winged Blackbird,30,0,3,30,0.0,0,,has_primary_color::yellow,baseline
77,Tropical Kingbird,30,21,26,9,0.7,19,0.9047619047619048,has_primary_color::yellow,baseline
11,Rusty Blackbird,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
74,Florida Jay,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
76,Dark eyed Junco,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
72,Pomarine Jaeger,30,0,1,30,0.0,0,,has_primary_color::yellow,baseline
14,Indigo Bunting,30,1,4,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
66,Western Gull,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
71,Long tailed Jaeger,30,0,0,30,0.0,0,,has_primary_color::yellow,baseline
67,Anna Hummingbird,30,1,2,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
68,Ruby throated Hummingbird,30,1,4,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
31,Black billed Cuckoo,30,1,3,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
69,Rufous Hummingbird,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,baseline
13,Bobolink,30,5,6,25,0.16666666666666666,0,0.0,has_primary_color::yellow,baseline
70,Green Violetear,30,0,3,30,0.0,0,,has_primary_color::yellow,baseline
181,Worm eating Warbler,29,12,17,17,0.41379310344827586,8,0.6666666666666666,has_primary_color::yellow,baseline
