species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
1,Black footed Albatross,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
143,Caspian Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
120,Fox Sparrow,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
121,Grasshopper Sparrow,30,1,6,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
122,Harris Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
123,Henslow Sparrow,30,2,4,28,0.06666666666666667,0,0.0,has_primary_color::yellow,cbm
126,Nelson Sharp tailed Sparrow,30,4,4,26,0.13333333333333333,2,0.5,has_primary_color::yellow,cbm
127,Savannah Sparrow,30,1,3,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
128,Seaside Sparrow,30,0,7,30,0.0,0,,has_primary_color::yellow,cbm
129,Song Sparrow,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
130,Tree Sparrow,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
131,Vesper Sparrow,30,0,2,30,0.0,0,,has_primary_color::yellow,cbm
132,White crowned Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
133,White throated Sparrow,30,3,2,27,0.1,0,0.0,has_primary_color::yellow,cbm
134,Cape Glossy Starling,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
135,Bank Swallow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
136,Barn Swallow,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
137,Cliff Swallow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
138,Tree Swallow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
139,Scarlet Tanager,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
140,Summer Tanager,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
118,House Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
116,Chipping Sparrow,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
114,Black throated Sparrow,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
2,Laysan Albatross,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
92,Nighthawk,30,1,1,29,0.03333333333333333,1,1.0,has_primary_color::yellow,cbm
93,Clark Nutcracker,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
94,White breasted Nuthatch,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
95,Baltimore Oriole,30,16,22,14,0.5333333333333333,16,1.0,has_primary_color::yellow,cbm
96,Hooded Oriole,30,23,28,7,0.7666666666666667,22,0.9565217391304348,has_primary_color::yellow,cbm
98,Scott Oriole,30,27,29,3,0.9,26,0.9629629629629629,has_primary_color::yellow,cbm
99,Ovenbird,30,3,1,27,0.1,0,0.0,has_primary_color::yellow,cbm
100,Brown Pelican,30,1,1,29,0.03333333333333333,1,1.0,has_primary_color::yellow,cbm
102,Western Wood Pewee,30,1,2,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
112,Great Grey Shrike,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
103,Sayornis,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
104,American Pipit,30,2,2,28,0.06666666666666667,0,0.0,has_primary_color::yellow,cbm
106,Horned Puffin,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
107,Common Raven,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
108,White necked Raven,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
109,American Redstart,30,9,8,21,0.3,4,0.4444444444444444,has_primary_color::yellow,cbm
110,Geococcyx,30,0,2,30,0.0,0,,has_primary_color::yellow,cbm
111,Loggerhead Shrike,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
142,Black Tern,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
144,Common Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
90,Red breasted Merganser,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
145,Elegant Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
176,Prairie Warbler,30,29,30,1,0.9666666666666667,29,1.0,has_primary_color::yellow,cbm
177,Prothonotary Warbler,30,30,30,0,1.0,30,1.0,has_primary_color::yellow,cbm
180,Wilson Warbler,30,30,30,0,1.0,30,1.0,has_primary_color::yellow,cbm
182,Yellow Warbler,30,30,30,0,1.0,30,1.0,has_primary_color::yellow,cbm
183,Northern Waterthrush,30,2,6,28,0.06666666666666667,1,0.5,has_primary_color::yellow,cbm
184,Louisiana Waterthrush,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
185,Bohemian Waxwing,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
186,Cedar Waxwing,30,5,6,25,0.16666666666666666,1,0.2,has_primary_color::yellow,cbm
188,Pileated Woodpecker,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
189,Red bellied Woodpecker,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
191,Red headed Woodpecker,30,0,2,30,0.0,0,,has_primary_color::yellow,cbm
192,Downy Woodpecker,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
193,Bewick Wren,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
194,Cactus Wren,30,1,1,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
195,Carolina Wren,30,4,1,26,0.13333333333333333,1,0.25,has_primary_color::yellow,cbm
196,House Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
197,Marsh Wren,30,0,1,30,0.0,0,,has_primary_color::yellow,cbm
198,Rock Wren,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
199,Winter Wren,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
175,Pine Warbler,30,23,29,7,0.7666666666666667,23,1.0,has_primary_color::yellow,cbm
174,Palm Warbler,30,17,20,13,0.5666666666666667,14,0.8235294117647058,has_primary_color::yellow,cbm
173,Orange crowned Warbler,30,14,25,16,0.4666666666666667,12,0.8571428571428571,has_primary_color::yellow,cbm
158,Bay breasted Warbler,30,0,5,30,0.0,0,,has_primary_color::yellow,cbm
146,Forsters Tern,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
147,Least Tern,30,1,0,29,0.03333333333333333,0,0.0,has_primary_color::yellow,cbm
148,Green tailed Towhee,30,6,6,24,0.2,2,0.3333333333333333,has_primary_color::yellow,cbm
150,Sage Thrasher,30,0,0,30,0.0,0,,has_primary_color::yellow,cbm
152,Blue headed Vireo,30,12,19,18,0.4,10,0.8333333333333334,has_primary_color::yellow,cbm
